"","weeknum","initprob","stormprob"
"1","16",0.00700525394045534,0.0882352941176471
"2","17",0.129597197898424,0.117647058823529
"3","19",0.0840630472854641,0.0882352941176471
"4","20",0.0893169877408056,0.0294117647058824
"5","21",0.0577933450087566,0.117647058823529
"6","22",0.0735551663747811,0.0588235294117647
"7","23",0.0718038528896672,0.0588235294117647
"8","24",0.0595446584938704,0.0294117647058824
"9","25",0.0490367775831874,0.0588235294117647
"10","26",0.0630472854640981,0.0294117647058824
"11","28",0.0122591943957968,0.0588235294117647
